,cad_ig_er_calc_index,levered_er_index,credit_fund_estimated_index
2002-10-01,100.094303,100.0,111.7797826361776
2002-10-02,99.906554,99.43725078167932,111.15938504470262
2002-10-03,99.97629399999998,99.6454552954048,111.40073712485025
2002-10-04,100.02401299999997,99.78810580418804,111.56887500474998
2002-10-07,99.93831899999998,99.53153188105574,111.30842664639444
2002-10-08,99.97566799999998,99.64309008428616,111.44194917430228
2002-10-09,99.70092799999999,98.8215791657557,110.5319034753264
2002-10-10,99.54497799999999,98.35782305082068,110.0218108749985
2002-10-11,99.50853499999998,98.24976555138345,109.90950575915421
2002-10-15,98.99947099999999,96.74176460481016,108.25681913322171
2002-10-16,99.49891499999998,98.20589498299194,109.90364347317862
2002-10-17,99.59705199999999,98.49644773162593,110.23740485804608
2002-10-18,99.47989399999999,98.14882533753153,109.85683502761403
2002-10-21,99.56174699999998,98.39100172619152,110.15356018376863
2002-10-22,99.51979999999999,98.26660814112923,110.02280896623031
2002-10-23,99.585097,98.46000009897186,110.24778063908394
2002-10-24,99.640668,98.6247972310767,110.4408132255706
2002-10-25,99.705442,98.81710562707867,110.6646822440292
2002-10-28,99.816238,99.14643450037347,111.05916812332697
2002-10-29,99.809562,99.12650829949766,111.04541602211802
2002-10-30,99.85886200000002,99.27336354599286,111.21849627908117
2002-10-31,99.76915000000001,99.0057729224717,110.92728822103001
2002-11-01,100.00572200000002,99.71002602741711,111.72490019594117
2002-11-04,100.01889800000001,99.74933878138356,111.7948178142566
2002-11-05,100.14730700000003,100.13349476839193,112.23398855791184
2002-11-06,100.15954100000002,100.17015878588217,112.2837421170154
2002-11-07,100.18857100000002,100.25722508552766,112.39000011712848
2002-11-08,100.26358800000001,100.48239734014771,112.6510928876443
2002-11-12,100.31844200000002,100.64718616671782,112.87064931798858
2002-11-13,100.33181300000003,100.68739752778582,112.92445234178336
2002-11-14,100.48757300000003,101.15630050537153,113.45905569727041
2002-11-15,100.40472000000003,100.90605413113525,113.18712749133901
2002-11-18,100.52452400000003,101.26716096183767,113.61844582739822
2002-11-19,100.57088100000003,101.40722607219486,113.78436004569146
2002-11-20,100.69364200000001,101.77853836556667,114.20968989275299
2002-11-21,100.74347100000003,101.9296025113116,114.38778470317179
2002-11-22,101.02165200000002,102.77393772628388,115.34391062210234
